order_number,customer_id,gender,race,age,hh_income,zip_code,preferred_channel,preferred_device,coupon_shopper,discount_shopper,item_number,item_description,item_price,promo_price,promo_code,purchase_price,target_a,target_b
20,8d8ffb67035745d08c669243e03db6bc,F,0,24,36088,92220,1,3,0,1,11,Calm Energy Fizzy Plus,29.25,9.99,1,9.99,0,0
21,7207f2184c7e403e9f5c85fa4dcde868,F,0,39,71755,34639,0,2,0,1,5,Vitamin Plus Gold Plus,25.75,25.99,0,25.75,1,0
22,ed54da12cc0e47df85b82b4572699ac6,F,0,43,53484,11414,0,1,0,1,21,Enhanced Pro Diet Booster,35.75,16.99,0,35.75,1,1
23,9672128f36554b0e8ce715bb4e9e604a,F,0,39,69085,07424,0,1,0,1,11,Multivision Bio Plus,13.75,12.99,0,13.75,1,1
24,9ac05d28f8544a3cbabb81d882d5b2ca,F,0,24,63201,20164,1,2,0,1,13,Kind Tablets Organic Plus,5.25,23.99,1,23.99,1,1
25,aa7bbff448a5428f9acc5c2d749fcb78,F,0,21,64205,34231,1,1,0,1,5,Calm Energy Fizzy Plus,21.15,30.99,1,30.99,1,1
26,fae0bff19a7a4c759ea846ff691574ae,F,0,62,62197,39401,0,0,1,1,19,Calm Energy Fizzy Plus,35.75,11.99,0,35.75,1,1
27,d60eae5473b04cee8b48688dbeabc63d,F,0,28,36337,98607,1,2,0,1,19,Fizzy Herb Tonic Plus,15.95,20.99,1,20.99,0,1
28,5188d9f6ad264193a58e6f273ea2425b,F,0,45,47617,70001,0,3,0,1,3,Low Acid Multi Plus Redux,12.25,28.99,0,12.25,0,0
29,d4dbb17846d94338bc5680b7ced89374,F,0,50,73040,01701,0,3,0,1,1,Slimmer Multi Low Fat Low Sodium,25.75,16.99,0,25.75,1,0
30,95fbf05acb344752b47072143cbde06d,F,0,26,55800,43062,1,3,0,1,10,Pant Alluronic Bio Plus,12.25,30.99,1,30.99,1,1
31,7c760f5ecad848498c700a67a83479d6,F,0,32,69108,39401,0,3,0,1,2,Herbal Bio Organic Low Mass,9.75,6.99,0,9.75,1,1
32,70fce883a38b45119e66e023176b12b0,F,0,41,62437,08759,0,1,0,1,22,Low Acid Multi Plus Redux,7.75,9.99,0,7.75,1,1
33,4a1140ffc65240ad8a03f8462a6f426a,F,0,38,32626,60453,0,2,0,1,22,Tonic Plus Herb Pro,8.25,6.99,0,8.25,0,1
34,87880f2581544bf6a8ac7f29252ede8a,F,0,61,48551,06705,0,0,1,1,18,Vitamin Plus Gold Plus,29.25,20.99,0,29.25,0,1
35,42214c0cc67f465880d25c5784b0ff15,F,0,41,42229,30701,0,2,0,1,8,Reductive Fat Booster Bio,11.95,14.99,0,11.95,0,0
36,85170666e1984f9c896155b1d7c70af8,F,0,34,62228,11552,0,2,0,1,16,Low Acid Multi Plus Redux,15.75,9.99,0,15.75,1,0
37,c7115dde0b944786bbcd1098a959a5cb,F,0,49,58536,18702,0,1,0,1,8,Energizer Plus Low Carb,31.75,23.99,0,31.75,1,1
38,6c36195b258145a28c9873ea3cfee22a,F,0,24,62192,11510,1,2,0,1,23,Kind Tablets Organic Plus,37.75,9.99,1,9.99,1,1
39,585e3d7a1f984d8eabf2ab3e2a4225b3,F,0,33,65875,47401,0,3,0,1,5,Low Acid Multi Plus Redux,5.25,27.99,0,5.25,1,1
40,8c1aeb94c0844ad998dd7238ecf4e3f2,F,0,31,45658,53590,0,2,0,1,2,Platinum Safe T,15.95,4.99,0,15.95,0,1
41,1301d1605aa2431c8a0271f5e23284bb,F,0,18,54314,24012,1,2,0,1,24,Nature Hi-C Low Fat,37.75,23.99,1,23.99,1,0
42,6b9307fdc33f48f7850c669292857989,F,0,29,47617,30534,1,1,0,1,7,Purple Red Booster,37.75,12.99,1,12.99,0,1
43,6261d1a55ba2498ca6985e96c2648e95,F,0,53,32626,58078,0,2,1,1,23,Qualm Zen Plus Z,35.75,20.99,0,35.75,0,1
44,ede42d522aa64b81aaddf2d8fe03db90,F,0,50,62244,16601,0,3,0,1,24,Tri Herb Plants Green,25.75,28.99,0,25.75,1,0
45,14431340dafc46bd8f317f5c1a9014b2,F,0,50,55895,33604,0,1,0,1,5,Multivision Bio Plus,5.25,28.99,0,5.25,1,1
46,754d69f305004673afe978e639a436bc,F,0,45,53947,34653,0,3,0,1,3,Energizer Plus Low Carb,31.75,12.99,0,31.75,1,1
47,05228caac55449d79aab45df99522275,F,0,48,54314,24012,0,2,0,1,20,Multivision Bio Plus,37.75,12.99,0,37.75,1,1
48,2f9fae0327af4a52afbc79a7a2f79acf,F,0,54,35421,21801,0,2,1,1,9,Calm Energy Fizzy Plus,8.25,27.99,0,8.25,0,1
49,0abe53a77c2e4f9099034c5196ff062f,F,0,55,69048,11520,0,1,1,1,5,Herbal Tonic Hi Z Low Sodium Plus C,12.25,28.99,0,12.25,1,1
50,b3b2b4885035435dabcadb72d12dc733,F,0,49,32626,60067,0,3,0,1,20,Zen Ultra Multi Plus,15.75,25.99,0,15.75,0,1
51,e8707739409f49cb8d4908fae49d8619,F,0,27,47271,19063,1,3,0,1,13,Purple Red Booster,21.15,9.99,1,9.99,0,0
52,d74db5c525eb4298aad56c48710450a0,F,0,32,69048,70301,0,3,0,1,1,Nature Hi-C Low Fat,5.25,12.99,0,5.25,1,0
53,abfddb5424b74bdeb6b99e113b17434f,F,0,33,60463,10701,0,2,0,1,12,Herbal Tonic Hi Z Low Sodium Plus C,17.75,28.99,0,17.75,1,1
54,12805fcd157e45a4a08bc542b0cefb61,F,0,55,35421,21801,0,1,1,1,6,Calm Energy Fizzy Plus,35.75,4.99,0,35.75,0,1
55,6fd4343779974929b8530d6a9057a9d5,F,0,69,38006,31313,0,0,1,1,9,Energizer Plus Low Carb,11.75,28.99,0,11.75,0,1
56,64eb8abbee254312b7c9652f250eaa94,F,0,27,47838,44203,1,3,0,1,13,Hi-C Multi-Tablets,31.75,4.99,1,4.99,0,0
57,1bacde4d22e64776a291bef178834a84,F,0,63,52609,32720,0,0,1,1,9,Low-Z Test Multi-A,5.25,12.99,0,5.25,1,1
58,fa0b7880d3454936b5ca489b5b9d2506,F,0,68,52609,07601,0,0,1,1,15,Platinum Safe T,37.75,4.99,0,37.75,1,1
59,59714c27d72e470cbfaacd2a60f60640,F,0,50,71755,47906,0,2,0,1,18,Herbal Plus Vitamin Tonic,15.75,14.99,0,15.75,1,1
60,45e3281f7e7f4e76b0f76ab98ccf92ae,F,0,28,63281,08075,1,1,0,1,17,Pant Alluronic Bio Plus,34.75,6.99,1,6.99,1,1
61,d21971722e20405ab85ffbb84c93f319,F,0,30,50341,35209,0,3,0,1,22,Platinum Safe T,34.75,12.99,0,34.75,1,1
62,577052c631b04d8c8e65a15580a113a0,F,0,24,59460,29841,1,2,0,1,11,Enhanced Pro Diet Booster,15.95,20.99,1,20.99,1,1
63,9bdf4b33bb0b49989a7dff141a6a232f,F,0,31,41613,34698,0,1,0,1,10,Hi-C Multi-Tablets,19.25,4.99,0,19.25,0,1
64,3c065410b6794dc886703e96081974b4,F,0,20,73040,49684,1,3,0,1,2,Pant Alluronic Bio Plus,31.75,6.99,1,6.99,1,0
65,3f23fbf6f53d48e291c9a78a04446bcd,F,0,28,84604,08053,1,3,0,0,19,Low-Z Test Multi-A,8.25,30.99,1,30.99,1,1
66,c4ae9c3624ba4988829239368b6ea27a,F,0,31,91857,60031,0,2,0,0,21,Qualm Zen Plus Z,25.75,25.99,0,25.75,1,1
67,4b188fe528c94e738ca211e46008f86d,F,0,23,81263,41018,1,1,0,0,22,Herbal Tonic Hi Z Low Sodium Plus C,11.95,23.99,1,23.99,1,1
68,2f85441de43f4096bc86924e59b60740,F,0,52,55638,11010,0,3,1,1,14,Slimmer Multi Low Fat Low Sodium,35.75,9.99,0,35.75,1,1
69,c6e3ed26054c46c6af75ba0f013fdd12,F,0,42,46168,53081,0,3,0,1,6,Kind Tablets Organic Plus,25.75,9.99,0,25.75,0,1
70,0132251baf2b4c07bdf3988fc4af6bd6,F,0,22,44809,67037,1,1,0,1,15,Green Tonic Multi Plus,11.75,12.99,1,12.99,0,0
71,8b2794d567e4432f90e8cc29ef4ae4ae,F,0,40,103338,06880,0,1,0,0,20,Platinum Safe T,25.75,14.99,0,25.75,1,0
72,a85420024aa84b29be0421efab00aa03,F,0,21,49555,19355,1,3,0,1,6,Enhanced Pro Diet Booster,13.75,28.99,1,28.99,0,1
73,6dde84e614e541d0b61fda6a8a28ce8e,F,0,52,59460,29841,0,2,1,1,20,Qualm Zen Plus Z,29.75,12.99,0,29.75,1,1
74,28dbaabd048740869c4dd758428322ab,F,0,25,79089,32003,1,1,0,1,6,Multivision Bio Plus,31.75,12.99,1,12.99,1,1
75,39c94281ce2b436fb5609b0ce1236fcd,F,0,51,32626,28358,0,3,1,1,7,Enhanced Pro Diet Booster,7.75,12.99,0,7.75,0,1
76,be0ed46d721f4a4ea8c3a4205163edb5,F,0,40,47014,10512,0,3,0,1,24,Zen Ultra Multi Plus,9.75,28.99,0,9.75,0,0
77,d8871aa626eb46039a6ba3c59a210675,F,0,20,42229,32779,1,2,0,1,15,Herbal Plus Vitamin Tonic,37.75,7.99,1,7.99,0,0
78,7885dbc11cb740adb421ca4d9655b435,F,0,42,61241,33470,0,2,0,1,6,Vitamin Plus Gold Plus,8.25,28.99,0,8.25,1,0
79,0fba758e833443fcbdfbbf647eb77a8d,F,0,63,42855,20901,0,0,1,1,5,Slimmer Multi Low Fat Low Sodium,17.75,7.99,0,17.75,0,1
80,6b2d84d0834c4c6c863b81f8efa29321,F,0,29,64222,11791,1,1,0,1,1,Herbal Plus Vitamin Tonic,29.25,28.99,1,28.99,1,0
81,8580701ec90942db8ca450cc33fbdb96,F,0,28,54878,08753,1,2,0,1,17,Qualm Zen Plus Z,15.95,12.99,1,12.99,1,1
82,39527e09639945cbaf7d9f2ca8b3de50,F,0,36,44476,17013,0,1,0,1,6,Green Tonic Multi Plus,15.95,28.99,0,15.95,0,1
83,a8af6c2daa6d4182b5d9d27c66c31d69,F,0,53,53744,10002,0,2,1,1,12,Calm Energy Fizzy Plus,21.15,14.99,0,21.15,1,1
84,44564135aee74f3295d85cb72336761b,F,0,28,59042,53511,1,2,0,1,4,Enhanced Pro Diet Booster,34.75,6.99,1,6.99,1,1
85,5e0542232ca843bdbcfd8a2adcdbe4f6,F,0,59,42855,30534,0,0,1,1,15,Herbal Plus Vitamin Tonic,17.75,12.99,0,17.75,0,1
86,adc32ce6fab645ec9f811f29535d1173,F,0,29,56886,21030,1,2,0,1,14,Herbal Bio Organic Low Mass,11.75,15.99,1,15.99,1,0
87,bef258d540bd4cf5a6d9871590b4e36b,F,0,46,49555,19355,0,2,0,1,4,Calm Energy Fizzy Plus,5.25,12.99,0,5.25,0,1
88,b55751e54fb64d99ba6a646e512bd9a6,F,0,74,38006,30701,0,0,1,1,6,Slimmer Multi Low Fat Low Sodium,25.75,16.99,0,25.75,0,1
89,6cfef1e463a94609a69ede19d7c2419b,F,0,30,60673,22901,0,1,0,1,1,Nature Hi-C Low Fat,17.75,6.99,0,17.75,1,0
90,21daecb2b15148469e75855fe7b4e9f2,F,0,65,53416,47802,0,0,1,1,4,Low Acid Multi Plus Redux,25.75,4.99,0,25.75,1,1
91,5eb2f0258b4c4577bc8b831f175f88af,F,0,25,81263,07302,1,1,0,0,15,Qualm Zen Plus Z,5.25,28.99,1,28.99,1,1
92,1a500bd5837d43d8a4c9da5076da0ab1,F,0,54,62192,11510,0,3,1,1,13,Kind Tablets Organic Plus,29.25,7.99,0,29.25,1,1
93,b0938019de2c46a3b356c3c1a7b8ad5a,F,0,31,61393,78023,0,2,0,1,1,Reductive Fat Booster Bio,25.75,20.99,0,25.75,1,1
94,31f88bf6e09347c1b4ee6e32b5468245,F,0,72,42270,14215,0,0,1,1,21,Low-Z Test Multi-A,25.75,28.99,0,25.75,0,1
95,a4c5a95482fc418aa3b358ed130e89c2,F,0,23,89947,07430,1,2,0,0,22,Qualm Zen Plus Z,12.25,11.99,1,11.99,1,0
96,2a746691e0cd4b469635ff5b7bc74883,F,0,51,53739,18052,0,2,1,1,9,Hi-C Multi-Tablets,31.75,12.99,0,31.75,1,1
97,cf499d845e2b4b368e44200557d6653a,F,0,33,54314,24012,0,2,0,1,8,Kind Tablets Organic Plus,15.75,12.99,0,15.75,1,1
98,a3032336ed3f4388b928ab3840233ba8,F,0,73,48603,44095,0,0,1,1,22,Herbal Plus Vitamin Tonic,34.75,28.99,0,34.75,0,1
99,7000fceca50f4c328cc491e1fb9d0722,F,0,35,32626,52501,0,2,0,1,16,Low Acid Multi Plus Redux,15.75,9.99,0,15.75,0,0
100,7e76a14239ea4a8ca69c93c67ce82cb1,F,0,42,43950,11776,0,2,0,1,4,Hi-C Multi-Tablets,7.75,7.99,0,7.75,0,0
101,4e17b8e080b14ebd8e5c68f3367a76b5,F,0,73,55648,14075,0,0,1,1,16,Kind Tablets Organic Plus,15.75,7.99,0,15.75,1,1
102,9a376defd0344d7eae1a6139bb0ba260,F,0,38,36088,92220,0,1,0,1,10,Energizer Plus Low Carb,7.75,9.99,0,7.75,0,1
103,1234246abf8d4461b6cd7c9b38560251,F,0,31,62349,79930,0,1,0,1,22,Purple Red Booster,35.75,9.99,0,35.75,1,0
104,1fcbf256eb844ca4a64eb7bca4b65a21,F,0,26,50617,11377,1,3,0,1,1,Tri Herb Plants Green,15.25,23.99,1,23.99,1,1
105,c2020baf4194454499006c1e21beefc2,F,0,61,48981,33308,0,0,1,1,20,Tri Herb Plants Green,25.75,15.99,0,25.75,0,1
106,0b81d45e52244a6a8a06be773c766a02,F,0,38,72511,48439,0,1,0,1,8,Low Acid Multi Plus Redux,29.75,27.99,0,29.75,1,0
107,5da72276b92347ca824ba8021cc507cd,F,0,45,59460,29841,0,3,0,1,12,Slimmer Multi Low Fat Low Sodium,31.75,23.99,0,31.75,1,1
108,77222d2c1dea4b6596f90c2568fa439b,F,0,64,93004,06880,0,0,1,0,17,Enhanced Pro Diet Booster,25.75,12.99,0,25.75,1,1
109,8016f7a5f88640d5a60db40246174157,F,0,54,42405,37086,0,2,1,1,3,Slimmer Multi Low Fat Low Sodium,5.25,23.99,0,5.25,0,1
110,556c824334504733aa026021962d6189,F,0,19,48645,37122,1,2,0,1,13,Herbal Bio Organic Low Mass,12.25,7.99,1,7.99,0,0
111,fec0895d4aaf4a77830727a1bfee5ca5,F,0,64,48141,20743,0,0,1,1,9,Tonic Plus Herb Pro,25.75,16.99,0,25.75,0,1
112,a885f5f3827b4932ad3621ee20f639ea,F,0,46,63844,12550,0,2,0,1,24,Tonic Plus Herb Pro,35.75,28.99,0,35.75,1,0
113,aad51c25c7344faabd46d40fcf7ee414,F,0,20,56886,30127,1,3,0,1,16,Zen Ultra Multi Plus,25.75,9.99,1,9.99,1,1
114,08cbaa83910b4ebb812ab65f46c40d11,F,0,26,49336,97603,1,3,0,1,12,Tonic Plus Herb Pro,13.75,16.99,1,16.99,0,1
115,e448e0881a554e6b9fffc152008277fe,F,0,28,42519,91733,1,2,0,1,16,Energizer Plus Low Carb,19.25,11.99,1,11.99,0,0
116,9253f6c8082341fda8370326a8d26983,F,0,50,35421,38654,0,1,0,1,9,Reductive Fat Booster Bio,35.75,16.99,0,35.75,0,0
117,9028a3bf1b5a43729376a1b96b738408,F,0,58,56193,01923,0,0,1,1,18,Reductive Fat Booster Bio,9.75,16.99,0,9.75,1,1
118,ef2d389eaee2429f8ada771e9f898c0c,F,0,48,63281,57401,0,3,0,1,5,Multivision Bio Plus,8.25,15.99,0,8.25,1,1
119,49846bca13524ca2b538c84c553f31b1,F,0,26,42151,19067,1,2,0,1,23,Pant Alluronic Bio Plus,11.95,6.99,1,6.99,0,1
120,c6ae7a19571a4526b9b129959466bcb7,F,0,20,58455,48430,1,2,0,1,22,Herbal Bio Organic Low Mass,35.75,15.99,1,15.99,1,0
121,3038d0213ecc48a7b0b7cc08f6ff5bdf,F,0,24,56886,30127,1,3,0,1,17,Tonic Plus Herb Pro,11.75,9.99,1,9.99,1,1
122,49b370cb7b22493393086ed6486f7d9f,F,0,46,91857,60031,0,2,0,0,22,Herbal Plus Vitamin Tonic,15.95,11.99,0,15.95,1,1
123,777029649758463bad46af61b5404fcb,F,0,56,56952,57401,0,0,1,1,13,Green Tonic Multi Plus,21.15,28.99,0,21.15,1,1
124,c0635af3466f4486b684a860e1419282,F,0,27,31082,27870,1,1,0,1,22,Hi-C Multi-Tablets,8.25,30.99,1,30.99,0,1
125,9fa0a3d59c364559ac7edbbd4b026c7c,F,0,25,50444,75043,1,3,0,1,11,Low-Z Test Multi-A,37.75,15.99,1,15.99,1,0
126,472f25ad80004904b6aaaef069f018dc,F,0,21,59460,29841,1,1,0,1,4,Low Acid Multi Plus Redux,15.75,20.99,1,20.99,1,1
127,7e791c315a074a1880ceecfba5980e3a,F,0,60,42855,07740,0,0,1,1,1,Nature Hi-C Low Fat,29.75,28.99,0,29.75,0,1
128,f3df13f5575c4e909ece09cca4fc60fc,F,0,45,71755,34639,0,1,0,1,19,Hi-C Multi-Tablets,21.15,16.99,0,21.15,1,0
129,810d8c8fc79c4539a1fc7df48bdb033b,F,0,51,36999,23111,0,3,1,1,22,Kind Tablets Organic Plus,25.75,27.99,0,25.75,0,1
130,137b18c3d1d441e6826a838ffb8a7ea6,F,0,52,56641,22079,0,1,1,1,19,Energizer Plus Low Carb,35.75,12.99,0,35.75,1,1
131,1a126d8295d94b7f80ac1fc873f35495,F,0,41,56886,30281,0,1,0,1,1,Enhanced Pro Diet Booster,15.25,4.99,0,15.25,1,1
132,4ffbd103bcd24c688d655e087fc395c2,F,0,23,50617,11377,1,3,0,1,9,Slimmer Multi Low Fat Low Sodium,7.75,28.99,1,28.99,1,1
133,a2c920aa8d3e4c6583632b3116323cd0,F,0,60,27973,30040,0,0,1,1,22,Nature Hi-C Low Fat,19.25,6.99,0,19.25,0,1
134,f4a18c52921642cf97b93b65362c839e,F,0,39,47617,07740,0,2,0,1,13,Herbal Bio Organic Low Mass,21.15,20.99,0,21.15,0,0
135,3cc897470d1e4eae9b39eb8c2debf151,F,0,30,47617,08088,0,3,0,1,15,Purple Red Booster,35.75,12.99,0,35.75,0,0
136,dcc6bfff25df443c93944b8c5f3910ce,F,0,44,54878,08753,0,1,0,1,1,Tri Herb Plants Green,8.25,6.99,0,8.25,1,0
137,8f0a9a90528e4e79b154bfe554232724,F,0,47,62543,13760,0,1,0,1,1,Green Tonic Multi Plus,17.75,20.99,0,17.75,1,1
138,04a0c5105d6347958b0b1735467c6ba3,F,0,34,39780,85302,0,2,0,1,19,Fizzy Herb Tonic Plus,15.25,9.99,0,15.25,0,1
139,4dcf03df7bf84376aebcee61e0df8a36,F,0,35,42478,99337,0,3,0,1,5,Hi-C Multi-Tablets,15.95,28.99,0,15.95,0,0
140,9c2c2bf1abaf4e308b5894d688e67e7b,F,0,73,36085,37312,0,0,1,1,18,Herbal Bio Organic Low Mass,37.75,23.99,0,37.75,0,1
141,24251b6dc3db492686650e6deac35863,F,0,62,64579,34639,0,0,1,1,4,Fizzy Herb Tonic Plus,15.25,12.99,0,15.25,1,1
142,5d3aa52040f045f68d17b2d62dbcc5db,F,0,42,46571,58102,0,1,0,1,15,Tri Herb Plants Green,25.75,20.99,0,25.75,0,1
143,f531c5198256422a92b76f446573b863,F,0,44,61832,48236,0,3,0,1,12,Calm Energy Fizzy Plus,7.75,14.99,0,7.75,1,0
144,ab540b0c255a4ad0a28eda5b175b3e2a,F,0,44,87652,02072,0,2,0,0,19,Energizer Plus Low Carb,12.25,12.99,0,12.25,1,1
145,b710828e6e854601955d4256566be327,F,0,42,31260,72209,0,3,0,1,14,Kind Tablets Organic Plus,19.25,11.99,0,19.25,0,1
146,7fe127418f9f4fdf999e51d4fb71998c,F,0,40,79089,32003,0,1,0,1,1,Herbal Bio Organic Low Mass,34.75,12.99,0,34.75,1,0
147,f16855b6630a47cdaa2f3880a3945515,F,0,23,61933,43123,1,2,0,1,17,Fizzy Herb Tonic Plus,15.25,12.99,1,12.99,1,1
148,7afe064b163a4229a82065762402263a,F,0,19,56997,32746,1,3,0,1,18,Tonic Plus Herb Pro,31.75,11.99,1,11.99,1,1
149,706bb6c01da44edc93de2a0e08571207,F,0,72,31453,45040,0,0,1,1,23,Herbal Tonic Hi Z Low Sodium Plus C,21.15,14.99,0,21.15,0,1
150,590c6b4be2d847e58151f72b5be0e65a,F,0,65,49678,76110,0,0,1,1,21,Pant Alluronic Bio Plus,7.75,27.99,0,7.75,0,1
151,f7c8761d836944d4800f6a7a10e696de,F,0,56,97643,19426,0,0,1,0,9,Fizzy Herb Tonic Plus,29.25,20.99,0,29.25,1,0
152,5f25c3a66d3b47038d0dbdc9ca11f910,F,0,25,31082,28601,1,1,0,1,16,Tonic Plus Herb Pro,34.75,15.99,1,15.99,0,1
153,626002c491bd4b1dab2819ef08de8c7a,F,0,50,64205,07450,0,3,0,1,14,Herbal Bio Organic Low Mass,15.75,6.99,0,15.75,1,0
154,3fae0fa6105a4cdba08ea8092cefc9b7,F,0,23,47968,11731,1,2,0,1,7,Kind Tablets Organic Plus,29.75,28.99,1,28.99,0,1
155,7813d52824c34acbb2914e1439deb6c0,F,0,20,58489,18102,1,2,0,1,16,Slimmer Multi Low Fat Low Sodium,12.25,9.99,1,9.99,1,0
156,6cf8e704e6594673aab10d0682d5832b,F,0,30,60673,22901,0,2,0,1,3,Zen Ultra Multi Plus,15.95,6.99,0,15.95,1,1
157,91c1e6266ff742468461bee6de2ff9f8,F,0,20,54878,01420,1,2,0,1,15,Purple Red Booster,35.75,30.99,1,30.99,1,1
158,2015dd40bb944baca31a6a3a7afa296f,F,0,51,54033,08003,0,1,1,1,22,Slimmer Multi Low Fat Low Sodium,7.75,6.99,0,7.75,1,1
159,afaf610d010b4f4da8e41f5933a56ff6,F,0,35,56435,11432,0,1,0,1,4,Energizer Plus Low Carb,12.25,9.99,0,12.25,1,1
160,b1c133f238f944bc8a93e66f8861f7d9,F,0,61,47673,85326,0,0,1,1,16,Herbal Plus Vitamin Tonic,17.75,25.99,0,17.75,0,1
161,d5588817d40849c69c6e524744b0d7a6,F,0,18,46571,58102,1,1,0,1,24,Energizer Plus Low Carb,29.75,20.99,1,20.99,0,0
162,f2a802b7c1dc4bff9ee4a3d7bd58d367,F,0,35,53484,11414,0,3,0,1,7,Slimmer Multi Low Fat Low Sodium,17.75,11.99,0,17.75,1,0
163,5dcb87f65fd6472a8df7f43ae9b92645,F,0,61,71180,32003,0,0,1,1,18,Low Acid Multi Plus Redux,11.75,7.99,0,11.75,1,1
164,2e4bfa27dd814da891d7036fcd9d238d,F,0,31,98082,06033,0,1,0,0,1,Low-Z Test Multi-A,15.25,25.99,0,15.25,1,1
165,0cdf63b88ea1456092abdb363627ea84,F,0,73,41913,31904,0,0,1,1,18,Multivision Bio Plus,17.75,23.99,0,17.75,0,1
166,be626cb99b614aa48f0c097b5ac54e7e,F,0,32,63844,12550,0,1,0,1,22,Kind Tablets Organic Plus,11.95,20.99,0,11.95,1,0
167,64ea024039f54126a2a114108c32cd8b,F,0,36,31082,59801,0,1,0,1,23,Purple Red Booster,7.75,23.99,0,7.75,0,1
168,68d3cf5ae78644d9924a42031c323ed7,F,0,21,32626,60435,1,1,0,1,16,Kind Tablets Organic Plus,37.75,20.99,1,20.99,0,0
169,61de81cff4e54a2e91d64ada2357bfeb,F,0,59,55739,43123,0,0,1,1,22,Zen Ultra Multi Plus,7.75,11.99,0,7.75,1,1
170,0f9afe1196cc4e74bcaf061508f420da,F,0,51,56886,30127,0,1,1,1,20,Qualm Zen Plus Z,9.75,7.99,0,9.75,1,1
171,5bee9289b0884fdf904ee343236b7dde,F,0,33,63281,21221,0,1,0,1,19,Vitamin Plus Gold Plus,17.75,12.99,0,17.75,1,1
172,ee10f9d64b5449cf80f84a3c9f2515aa,F,0,31,46571,60035,0,1,0,1,5,Zen Ultra Multi Plus,25.75,7.99,0,25.75,0,1
173,69cfb54ccfb14086a84dd9ae5f0ddba7,F,0,24,64205,34231,1,3,0,1,8,Low-Z Test Multi-A,17.75,23.99,1,23.99,1,0
174,7eddd5e8883a4d30841589b6bd0a4eba,F,0,18,53490,31021,1,3,0,1,15,Green Tonic Multi Plus,29.75,6.99,1,6.99,1,1
175,88f579e19f124840bda7ebd7b070644e,F,0,37,55895,07110,0,3,0,1,5,Purple Red Booster,5.25,23.99,0,5.25,1,1
176,3c81e2bb52d14ca88abd7405f2f8754c,F,0,57,41913,28104,0,0,1,1,9,Pant Alluronic Bio Plus,34.75,27.99,0,34.75,0,1
